global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
17512,17512,70048,122,104,416,632.0,0.0,632.0,710,710,380.74038461538464,15,0,1000000,3000,4
17551,17551,70204,123,39,156,236.0,0.0,236.0,300,300,166.3846153846154,7,0,1000000,3000,4
17878,17878,71512,124,327,1308,778.0,0.0,778.0,898,899,637.2415902140673,18,0,1000000,3000,4
17915,17915,71660,125,37,148,241.0,0.0,241.0,305,305,155.97297297297297,7,0,1000000,3000,4
18140,18140,72560,126,225,900,725.0,0.0,725.0,826,826,606.1244444444444,17,0,1000000,3000,4
18436,18436,73744,127,296,1184,1317.0,0.0,1317.0,1434,1434,723.777027027027,29,0,1000000,3000,4
18526,18526,74104,128,90,360,623.0,0.0,623.0,698,698,391.2888888888889,14,0,1000000,3000,4
18699,18699,74796,129,173,692,1326.0,0.0,1326.0,1416,1416,694.9479768786127,29,0,1000000,3000,4
18841,18841,75364,130,142,568,639.0,0.0,639.0,722,722,521.5492957746479,15,0,1000000,3000,4
18875,18875,75500,131,34,136,248.0,0.0,248.0,311,311,152.6764705882353,7,0,1000000,3000,4
19021,19021,76084,132,146,584,814.0,0.0,814.0,898,899,595.7602739726027,18,0,1000000,3000,4
19105,19105,76420,133,84,336,625.0,0.0,625.0,699,699,364.23809523809524,14,0,1000000,3000,4
19375,19375,77500,134,270,1080,1028.0,0.0,1028.0,1138,1138,669.5518518518519,23,0,1000000,3000,4
19614,19614,78456,135,239,956,1326.0,0.0,1326.0,1431,1431,718.163179916318,29,0,1000000,3000,4
19706,19706,78824,136,92,368,649.0,0.0,649.0,722,722,379.5652173913044,15,0,1000000,3000,4
19885,19885,79540,137,179,716,789.0,0.0,789.0,881,881,538.7374301675977,18,0,1000000,3000,4
19958,19958,79832,138,73,292,608.0,0.0,608.0,678,678,325.0,14,0,1000000,3000,4
20047,20047,80188,139,89,356,619.0,0.0,619.0,694,694,395.9887640449438,14,0,1000000,3000,4
20124,20124,80496,140,77,308,625.0,0.0,625.0,697,697,356.4025974025974,14,0,1000000,3000,4
20159,20159,80636,141,35,140,243.0,0.0,243.0,307,307,154.31428571428572,7,0,1000000,3000,4
20340,20340,81360,142,181,724,729.0,0.0,729.0,822,822,559.4309392265193,17,0,1000000,3000,4
20377,20377,81508,143,37,148,236.0,0.0,236.0,300,300,165.56756756756758,7,0,1000000,3000,4
20732,20732,82928,144,355,1420,772.0,0.0,772.0,898,898,662.2788732394366,18,0,1000000,3000,4
20970,20970,83880,145,238,952,554.0,0.0,554.0,658,658,517.3991596638656,14,0,1000000,3000,4
21074,21074,84296,146,104,416,620.0,0.0,620.0,697,697,380.47115384615387,14,0,1000000,3000,4
21111,21111,84444,147,37,148,232.0,0.0,232.0,297,297,160.1891891891892,6,0,1000000,3000,4
21144,21144,84576,148,33,132,238.0,0.0,238.0,302,302,168.6060606060606,7,0,1000000,3000,4
21184,21184,84736,149,40,160,229.0,0.0,229.0,295,295,160.175,6,0,1000000,3000,4
21259,21259,85036,150,75,300,653.0,0.0,653.0,722,722,381.02666666666664,15,0,1000000,3000,4
21456,21456,85824,151,197,788,1312.0,0.0,1312.0,1408,1408,693.4467005076142,29,0,1000000,3000,4
21654,21654,86616,152,198,792,1055.0,0.0,1055.0,1152,1152,606.489898989899,24,0,1000000,3000,4
21692,21692,86768,153,38,152,222.0,0.0,222.0,287,287,169.26315789473685,6,0,1000000,3000,4
21731,21731,86924,154,39,156,235.0,0.0,235.0,298,298,161.25641025641025,6,0,1000000,3000,4
21768,21768,87072,155,37,148,243.0,0.0,243.0,308,308,158.48648648648648,7,0,1000000,3000,4
22056,22056,88224,156,288,1152,1839.0,0.0,1839.0,1954,1954,961.2916666666666,40,0,1000000,3000,4
