global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
24032,24032,96128,147,41,164,230.0,0.0,230.0,294,294,157.14634146341464,0,6,0,1000000,3000,4
24075,24075,96300,148,43,172,231.0,0.0,231.0,296,296,152.90697674418604,0,6,0,1000000,3000,4
24261,24261,97044,149,186,744,775.0,0.0,775.0,869,869,528.0430107526881,0,18,0,1000000,3000,4
24516,24516,98064,150,255,1020,1301.0,0.0,1301.0,1409,1409,712.7921568627451,0,29,0,1000000,3000,4
24687,24687,98748,151,171,684,633.0,0.0,633.0,722,722,464.0877192982456,0,15,0,1000000,3000,4
24735,24735,98940,152,48,192,217.0,0.0,217.0,282,282,161.47916666666666,0,6,0,1000000,3000,4
25076,25076,100304,153,341,1364,1388.0,0.0,1388.0,1513,1513,771.6451612903226,0,31,0,1000000,3000,4
25449,25449,101796,154,373,1492,1655.0,0.0,1655.0,1787,1787,874.9785522788204,0,36,0,1000000,3000,4
25602,25602,102408,155,153,612,637.0,0.0,637.0,722,722,477.5032679738562,0,15,0,1000000,3000,4
25693,25693,102772,156,91,364,613.0,0.0,613.0,689,689,382.7692307692308,0,14,0,1000000,3000,4
25875,25875,103500,157,182,728,791.0,0.0,791.0,883,883,506.14285714285717,0,18,0,1000000,3000,4
26235,26235,104940,158,360,1440,1278.0,0.0,1278.0,1407,1407,697.6055555555556,0,29,0,1000000,3000,4
26282,26282,105128,159,47,188,236.0,0.0,236.0,302,302,139.93617021276594,0,7,0,1000000,3000,4
26475,26475,105900,160,193,772,757.0,0.0,757.0,853,853,523.4715025906736,0,18,0,1000000,3000,4
26518,26518,106072,161,43,172,234.0,0.0,234.0,298,298,154.1627906976744,0,6,0,1000000,3000,4
26620,26620,106480,162,102,408,610.0,0.0,610.0,687,687,390.79411764705884,0,14,0,1000000,3000,4
26660,26660,106640,163,40,160,235.0,0.0,235.0,300,300,158.275,0,7,0,1000000,3000,4
26812,26812,107248,164,152,608,1038.0,0.0,1038.0,1123,1123,624.8618421052631,0,23,0,1000000,3000,4
26847,26847,107388,165,35,140,240.0,0.0,240.0,303,303,155.71428571428572,0,7,0,1000000,3000,4
26892,26892,107568,166,45,180,230.0,0.0,230.0,295,295,157.37777777777777,0,6,0,1000000,3000,4
27070,27070,108280,167,178,712,1035.0,0.0,1035.0,1126,1126,598.7415730337078,0,23,0,1000000,3000,4
27118,27118,108472,168,48,192,227.0,0.0,227.0,293,293,149.60416666666666,0,6,0,1000000,3000,4
27388,27388,109552,169,270,1080,1027.0,0.0,1027.0,1137,1137,593.8925925925926,0,23,0,1000000,3000,4
27697,27697,110788,170,309,1236,1311.0,0.0,1311.0,1428,1428,720.411003236246,0,29,0,1000000,3000,4
28263,28263,113052,171,566,2264,1238.0,0.0,1238.0,1408,1408,816.2597173144876,0,29,0,1000000,3000,4
28306,28306,113224,172,43,172,233.0,0.0,233.0,298,298,155.06976744186048,0,6,0,1000000,3000,4
28338,28338,113352,173,32,128,240.0,0.0,240.0,302,302,168.15625,0,7,0,1000000,3000,4
28387,28387,113548,174,49,196,211.0,0.0,211.0,277,277,170.10204081632654,0,6,0,1000000,3000,4
28677,28677,114708,175,290,1160,1024.0,0.0,1024.0,1138,1138,655.4620689655172,0,23,0,1000000,3000,4
29476,29476,117904,176,799,3196,909.0,0.0,909.0,1123,1123,753.1952440550689,0,23,0,1000000,3000,4
29715,29715,118860,177,239,956,796.0,0.0,796.0,898,898,573.3054393305439,0,18,0,1000000,3000,4
29836,29836,119344,178,121,484,582.0,0.0,582.0,663,663,388.3223140495868,0,14,0,1000000,3000,4
30042,30042,120168,179,206,824,802.0,0.0,802.0,898,898,541.0291262135922,0,18,0,1000000,3000,4
30203,30203,120812,180,161,644,773.0,0.0,773.0,863,863,506.41614906832297,0,18,0,1000000,3000,4
30378,30378,121512,181,175,700,792.0,0.0,792.0,883,883,538.6,0,18,0,1000000,3000,4
30675,30675,122700,182,297,1188,784.0,0.0,784.0,898,898,625.3299663299663,0,18,0,1000000,3000,4
31030,31030,124120,183,355,1420,1290.0,0.0,1290.0,1417,1417,782.7492957746479,0,29,0,1000000,3000,4
31339,31339,125356,184,309,1236,1298.0,0.0,1298.0,1415,1415,697.1812297734627,0,29,0,1000000,3000,4
31457,31457,125828,185,118,472,610.0,0.0,610.0,689,689,346.635593220339,0,14,0,1000000,3000,4
31663,31663,126652,186,206,824,1335.0,0.0,1335.0,1434,1434,713.7864077669902,0,29,0,1000000,3000,4
31810,31810,127240,187,147,588,1042.0,0.0,1042.0,1127,1127,539.0952380952381,0,23,0,1000000,3000,4
31905,31905,127620,188,95,380,634.0,0.0,634.0,710,710,390.36842105263156,0,15,0,1000000,3000,4
31989,31989,127956,189,84,336,637.0,0.0,637.0,711,711,363.1309523809524,0,15,0,1000000,3000,4
32026,32026,128104,190,37,148,237.0,0.0,237.0,301,301,158.13513513513513,0,7,0,1000000,3000,4
32129,32129,128516,191,103,412,605.0,0.0,605.0,681,681,402.8252427184466,0,14,0,1000000,3000,4
32269,32269,129076,192,140,560,1342.0,0.0,1342.0,1427,1427,675.3142857142857,0,29,0,1000000,3000,4
32443,32443,129772,193,174,696,633.0,0.0,633.0,722,723,473.0977011494253,0,15,0,1000000,3000,4
32816,32816,131264,194,373,1492,1651.0,0.0,1651.0,1780,1780,857.2975871313673,0,36,0,1000000,3000,4
