global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
25646,25646,102584,171,40,160,235.0,0.0,235.0,301,301,153.6,0,7,0,1000000,3000,4
25744,25744,102976,172,98,392,614.0,0.0,614.0,690,690,371.18367346938777,0,14,0,1000000,3000,4
25774,25774,103096,173,30,120,245.0,0.0,245.0,307,307,158.53333333333333,0,7,0,1000000,3000,4
25849,25849,103396,174,75,300,633.0,0.0,633.0,705,705,366.4533333333333,0,15,0,1000000,3000,4
26155,26155,104620,175,306,1224,1299.0,0.0,1299.0,1415,1415,797.3856209150326,0,29,0,1000000,3000,4
26188,26188,104752,176,33,132,250.0,0.0,250.0,314,314,146.6969696969697,0,7,0,1000000,3000,4
26217,26217,104868,177,29,116,248.0,0.0,248.0,311,311,153.17241379310346,0,7,0,1000000,3000,4
26261,26261,105044,178,44,176,222.0,0.0,222.0,288,288,163.8409090909091,0,6,0,1000000,3000,4
26334,26334,105336,179,73,292,609.0,0.0,609.0,681,681,314.26027397260276,0,14,0,1000000,3000,4
26368,26368,105472,180,34,136,247.0,0.0,247.0,310,310,148.05882352941177,0,7,0,1000000,3000,4
26435,26435,105740,181,67,268,609.0,0.0,609.0,680,680,315.6119402985075,0,14,0,1000000,3000,4
26470,26470,105880,182,35,140,243.0,0.0,243.0,307,307,162.82857142857142,0,7,0,1000000,3000,4
26649,26649,106596,183,179,716,1334.0,0.0,1334.0,1427,1427,768.0391061452514,0,29,0,1000000,3000,4
26729,26729,106916,184,80,320,622.0,0.0,622.0,695,695,332.325,0,14,0,1000000,3000,4
26769,26769,107076,185,40,160,236.0,0.0,236.0,300,300,158.1,0,7,0,1000000,3000,4
26806,26806,107224,186,37,148,227.0,0.0,227.0,291,291,172.48648648648648,0,6,0,1000000,3000,4
27027,27027,108108,187,221,884,1308.0,0.0,1308.0,1408,1408,710.1402714932127,0,29,0,1000000,3000,4
27292,27292,109168,188,265,1060,1313.0,0.0,1313.0,1423,1423,774.011320754717,0,29,0,1000000,3000,4
27508,27508,110032,189,216,864,753.0,0.0,753.0,853,853,553.7175925925926,0,18,0,1000000,3000,4
28082,28082,112328,190,574,2296,1240.0,0.0,1240.0,1410,1410,795.8031358885017,0,29,0,1000000,3000,4
28353,28353,113412,191,271,1084,1016.0,0.0,1016.0,1125,1125,652.0332103321033,0,23,0,1000000,3000,4
28470,28470,113880,192,117,468,584.0,0.0,584.0,664,664,387.8290598290598,0,14,0,1000000,3000,4
28603,28603,114412,193,133,532,600.0,0.0,600.0,683,683,375.17293233082705,0,14,0,1000000,3000,4
28778,28778,115112,194,175,700,749.0,0.0,749.0,839,839,549.7771428571428,0,17,0,1000000,3000,4
29038,29038,116152,195,260,1040,1029.0,0.0,1029.0,1137,1137,647.3961538461539,0,23,0,1000000,3000,4
29240,29240,116960,196,202,808,1041.0,0.0,1041.0,1138,1138,648.8762376237623,0,23,0,1000000,3000,4
29344,29344,117376,197,104,416,617.0,0.0,617.0,694,694,376.1057692307692,0,14,0,1000000,3000,4
29384,29384,117536,198,40,160,231.0,0.0,231.0,296,296,158.975,0,6,0,1000000,3000,4
29429,29429,117716,199,45,180,222.0,0.0,222.0,287,287,166.0222222222222,0,6,0,1000000,3000,4
30151,30151,120604,200,722,2888,1209.0,0.0,1209.0,1409,1409,723.4127423822715,0,29,0,1000000,3000,4
30201,30201,120804,201,50,200,211.0,0.0,211.0,277,277,164.94,0,6,0,1000000,3000,4
30375,30375,121500,202,174,696,751.0,0.0,751.0,842,842,488.45402298850576,0,17,0,1000000,3000,4
30970,30970,123880,203,595,2380,1241.0,0.0,1241.0,1416,1416,710.4806722689076,0,29,0,1000000,3000,4
31133,31133,124532,204,163,652,718.0,0.0,718.0,807,807,468.9325153374233,0,17,0,1000000,3000,4
31250,31250,125000,205,117,468,607.0,0.0,607.0,688,688,376.8034188034188,0,14,0,1000000,3000,4
31289,31289,125156,206,39,156,238.0,0.0,238.0,301,301,149.97435897435898,0,7,0,1000000,3000,4
31629,31629,126516,207,340,1360,1010.0,0.0,1010.0,1133,1133,631.9705882352941,0,23,0,1000000,3000,4
31673,31673,126692,208,44,176,232.0,0.0,232.0,297,297,156.0,0,6,0,1000000,3000,4
31786,31786,127144,209,113,452,593.0,0.0,593.0,672,672,381.60176991150445,0,14,0,1000000,3000,4
31991,31991,127964,210,205,820,1042.0,0.0,1042.0,1138,1138,639.3951219512195,0,23,0,1000000,3000,4
32030,32030,128120,211,39,156,240.0,0.0,240.0,304,304,155.48717948717947,0,7,0,1000000,3000,4
32294,32294,129176,212,264,1056,1313.0,0.0,1313.0,1421,1421,733.0340909090909,0,29,0,1000000,3000,4
32342,32342,129368,213,48,192,214.0,0.0,214.0,280,280,172.10416666666666,0,6,0,1000000,3000,4
32664,32664,130656,214,322,1288,1019.0,0.0,1019.0,1140,1140,711.8198757763976,0,23,0,1000000,3000,4
32711,32711,130844,215,47,188,218.0,0.0,218.0,284,284,164.0,0,6,0,1000000,3000,4
32933,32933,131732,216,222,888,1326.0,0.0,1326.0,1427,1427,723.6621621621622,0,29,0,1000000,3000,4
32982,32982,131928,217,49,196,223.0,0.0,223.0,289,289,157.08163265306123,0,6,0,1000000,3000,4
33172,33172,132688,218,190,760,1031.0,0.0,1031.0,1124,1124,621.6421052631579,0,23,0,1000000,3000,4
33543,33543,134172,219,371,1484,1007.0,0.0,1007.0,1138,1138,697.9865229110512,0,23,0,1000000,3000,4
33595,33595,134380,220,52,208,222.0,0.0,222.0,290,290,138.75,0,6,0,1000000,3000,4
33640,33640,134560,221,45,180,230.0,0.0,230.0,295,295,153.55555555555554,0,6,0,1000000,3000,4
33759,33759,135036,222,119,476,613.0,0.0,613.0,693,693,354.03361344537814,0,14,0,1000000,3000,4
33807,33807,135228,223,48,192,221.0,0.0,221.0,287,287,145.10416666666666,0,6,0,1000000,3000,4
34088,34088,136352,224,281,1124,1013.0,0.0,1013.0,1124,1124,659.0498220640569,0,23,0,1000000,3000,4
34269,34269,137076,225,181,724,745.0,0.0,745.0,838,838,522.0386740331492,0,17,0,1000000,3000,4
34478,34478,137912,226,209,836,1040.0,0.0,1040.0,1137,1137,596.3636363636364,0,23,0,1000000,3000,4
34593,34593,138372,227,115,460,622.0,0.0,622.0,701,701,329.62608695652176,0,15,0,1000000,3000,4
34741,34741,138964,228,148,592,583.0,0.0,583.0,669,669,347.5945945945946,0,14,0,1000000,3000,4
34785,34785,139140,229,44,176,239.0,0.0,239.0,305,305,132.20454545454547,0,7,0,1000000,3000,4
34831,34831,139324,230,46,184,228.0,0.0,228.0,293,293,147.08695652173913,0,6,0,1000000,3000,4
35252,35252,141008,231,421,1684,1295.0,0.0,1295.0,1437,1437,754.4346793349168,0,29,0,1000000,3000,4
35501,35501,142004,232,249,996,1316.0,0.0,1316.0,1423,1423,658.5180722891566,0,29,0,1000000,3000,4
35594,35594,142376,233,93,372,620.0,0.0,620.0,696,696,378.36559139784947,0,14,0,1000000,3000,4
35762,35762,143048,234,168,672,810.0,0.0,810.0,898,898,521.8809523809524,0,18,0,1000000,3000,4
35881,35881,143524,235,119,476,592.0,0.0,592.0,673,673,364.6470588235294,0,14,0,1000000,3000,4
36023,36023,144092,236,142,568,1053.0,0.0,1053.0,1138,1138,594.3028169014085,0,23,0,1000000,3000,4
36122,36122,144488,237,99,396,623.0,0.0,623.0,700,700,330.25252525252523,0,15,0,1000000,3000,4
36383,36383,145532,238,261,1044,1017.0,0.0,1017.0,1124,1124,625.7164750957854,0,23,0,1000000,3000,4
36530,36530,146120,239,147,588,1042.0,0.0,1042.0,1127,1127,544.3809523809524,0,23,0,1000000,3000,4
36714,36714,146856,240,184,736,1045.0,0.0,1045.0,1137,1137,610.5869565217391,0,23,0,1000000,3000,4
36811,36811,147244,241,97,388,633.0,0.0,633.0,709,709,360.3298969072165,0,15,0,1000000,3000,4
36849,36849,147396,242,38,152,233.0,0.0,233.0,297,297,159.07894736842104,0,6,0,1000000,3000,4
37044,37044,148176,243,195,780,1043.0,0.0,1043.0,1138,1138,604.8102564102564,0,23,0,1000000,3000,4
